,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Aksu,CN,82.42,clear sky,41.12,80.26,Pudong Holiday Hotel
1,Touros,BR,80.6,broken clouds,-5.2,-35.46,INN NEW HORIZON
2,Morehead,US,75.2,clear sky,37.27,-87.18,CCI Express Inn
3,Port Elizabeth,ZA,84.2,clear sky,-33.92,25.57,39 On Nile Guest House
4,Northam,GB,82.4,few clouds,51.03,-4.22,Durrant House Hotel
5,Hyderabad,IN,87.01,haze,17.38,78.47,OYO 2444 Hotel Sri Supraja Pride
6,Port Alfred,ZA,82.0,clear sky,-33.59,26.89,The Halyards Hotel & Spa
7,Atuona,PF,79.72,clear sky,-9.8,-139.03,Villa Enata
9,Nikolskoye,RU,88.0,clear sky,59.7,30.79,Tourist House - Sablino
10,Arraial Do Cabo,BR,78.8,clear sky,-22.97,-42.03,Pousada Porto Praia
11,Luganville,VU,77.72,light rain,-15.53,167.17,The Espiritu Hotel
12,Dwarka,IN,87.39,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
13,Guanare,VE,82.24,light rain,9.04,-69.74,Nuevo Hotel Coromoto
14,Butaritari,KI,82.87,few clouds,3.07,172.79,Isles Sunset Lodge
15,Mata,PT,84.27,broken clouds,40.68,-7.46,Hostel EntryFik
16,Oussouye,SN,77.0,overcast clouds,12.48,-16.55,Auberge du Routard
19,Suwalki,PL,77.09,light rain,54.11,22.93,Hotel Szyszko
20,Sfantu Gheorghe,RO,77.0,light rain,45.87,25.78,Hotel Park
22,Nacala,MZ,82.4,scattered clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
24,Korla,CN,83.08,overcast clouds,41.76,86.15,Gulisitan Hotel
25,Hithadhoo,MV,84.67,broken clouds,-0.6,73.08,Scoop Guest House
29,Bonthe,SL,82.78,light rain,7.53,-12.51,Bonthe Holiday Village
31,East London,ZA,78.8,clear sky,-33.02,27.91,Tu Casa
32,Satipo,PE,79.63,overcast clouds,-11.25,-74.64,Bungalows El Palmiche
33,Chabahar,IR,87.91,clear sky,25.29,60.64,هتل گدروشیا
35,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
36,Labuhan,ID,77.43,few clouds,-6.88,112.21,DoubleFAG
37,San Pedro,PH,86.0,broken clouds,14.35,121.02,Palines Apartment and Guesthouse
38,Anloga,GH,87.8,few clouds,5.79,0.9,Pin Drop Hotel
39,Lufkin,US,75.2,broken clouds,31.34,-94.73,Courtyard by Marriott Lufkin
40,Kavieng,PG,83.57,overcast clouds,-2.57,150.8,Nusa Island Retreat
41,Villa Bruzual,VE,82.6,light rain,9.33,-69.12,Hotel Turen
42,Manokwari,ID,81.03,light rain,-0.87,134.08,Swiss Belhotel Manokwari
44,Dzaoudzi,YT,82.4,few clouds,-12.79,45.27,Le Rocher
46,Khatanga,RU,78.98,broken clouds,71.97,102.5,"""Khatanga"""
47,Barao De Melgaco,BR,84.2,scattered clouds,-16.19,-55.97,Tuiuiu Pantanal Hotel
48,Ojinaga,MX,77.0,clear sky,29.57,-104.42,Suites Las Palmas
49,Kalmunai,LK,82.31,light rain,7.42,81.82,VS Villa
50,Victoria,HK,86.0,overcast clouds,22.29,114.16,Mini Central
53,Kutum,SD,87.93,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
54,Imbituba,BR,78.8,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
56,Bethel,US,77.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
57,Kahului,US,75.2,broken clouds,20.89,-156.47,Maui Seaside Hotel
59,Havre,FR,89.6,clear sky,49.58,0.33,gite bois jourdain
60,Beira,MZ,75.2,few clouds,-19.84,34.84,Beira Terrace Hotel
62,Alenquer,BR,82.4,broken clouds,-1.94,-54.74,Detinha Hotel
63,West Bay,KY,87.8,dust,19.37,-81.42,Calypso Cove
64,Porbandar,IN,87.33,scattered clouds,21.64,69.61,Lords Inn Porbandar
65,Eregli,TR,83.21,clear sky,37.51,34.05,Hotel Fuat Bey
66,Manzanillo,CU,84.27,clear sky,20.34,-77.12,Adrian & Tonia
67,Faanui,PF,78.39,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,Kruisfontein,ZA,78.15,clear sky,-34.0,24.73,Oyster Bay House Rental
69,Mingguang,CN,77.58,clear sky,32.78,117.96,Yonghao Hotel
70,Prado,BR,78.51,few clouds,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
71,Caravelas,BR,79.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
74,Bani,DO,86.0,scattered clouds,18.28,-70.33,Hospedaje Henriquez
76,San Patricio,MX,80.96,clear sky,19.22,-104.7,Hotel Cabo Blanco
77,Puri,IN,87.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
78,Kuressaare,EE,77.0,clear sky,58.25,22.5,Asa Spa Hotel
80,Bengkulu,ID,78.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
81,Barrhead,GB,80.01,scattered clouds,55.8,-4.39,The Gleniffer
82,Gat,IL,80.6,few clouds,31.61,34.76,OlusHome
83,Cozumel,MX,84.99,clear sky,20.51,-86.95,Cozumel Palace® All Inclusive Resort
84,Meadow Lake,US,75.0,few clouds,34.8,-106.54,TumbleWeed RV Park
85,Cabo San Lucas,MX,77.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
86,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
87,Miandrivazo,MG,84.45,clear sky,-19.52,45.47,Hôtel Arc En Ciel Miandrivazo
89,Georgetown,MY,84.2,few clouds,5.41,100.34,Cititel Penang
90,Busia,UG,76.68,light rain,0.45,34.08,Chefwest Hotel
