City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-11-20 12:34:19,-22.9661,-42.0278,76.96,69,40,8.05
1,Yatou,CN,2022-11-20 12:34:20,37.15,122.3833,54.81,77,53,4.18
2,Buluang,PH,2022-11-20 12:34:20,13.3068,123.3425,77.2,91,100,2.62
3,Bilma,NE,2022-11-20 12:34:21,18.6853,12.9164,85.19,11,91,6.2
4,Kapaa,US,2022-11-20 12:31:07,22.0752,-159.319,75.52,82,40,18.41
5,Yaan,NG,2022-11-20 12:34:21,7.3833,8.5667,97.05,17,60,9.6
6,Kaitangata,NZ,2022-11-20 12:29:39,-46.2817,169.8464,51.51,98,51,3.44
7,Barrow,US,2022-11-20 12:29:44,71.2906,-156.7887,14.02,85,40,4.61
8,Ushuaia,AR,2022-11-20 12:30:34,-54.8,-68.3,44.26,76,100,5.75
9,Rikitea,PF,2022-11-20 12:34:22,-23.1203,-134.9692,71.46,74,83,10.54
10,Vaini,TO,2022-11-20 12:34:23,-21.2,-175.2,69.96,100,75,0.0
11,Longyearbyen,SJ,2022-11-20 12:34:23,78.2186,15.6401,37.24,75,75,10.36
12,Upernavik,GL,2022-11-20 12:29:54,72.7868,-56.1549,14.02,95,100,8.1
13,Ponta Do Sol,PT,2022-11-20 12:34:24,32.6667,-17.1,73.71,61,24,1.36
14,Klyuchi,RU,2022-11-20 12:34:24,52.2667,79.1667,8.73,73,12,4.74
15,Leh,IN,2022-11-20 12:30:51,34.1667,77.5833,16.75,74,18,1.45
16,Hermanus,ZA,2022-11-20 12:34:25,-34.4187,19.2345,74.8,61,9,12.33
17,Bambous Virieux,MU,2022-11-20 12:34:25,-20.3428,57.7575,80.22,65,75,10.36
18,Avera,US,2022-11-20 12:34:26,33.194,-82.5271,41.05,43,100,9.55
19,Cape Town,ZA,2022-11-20 12:32:58,-33.9258,18.4232,75.27,47,0,17.27
20,Kalmunai,LK,2022-11-20 12:34:26,7.4167,81.8167,78.64,79,25,15.59
21,Arrecife,ES,2022-11-20 12:30:02,28.963,-13.5477,71.58,64,20,28.77
22,Nhulunbuy,AU,2022-11-20 12:34:27,-12.2333,136.7667,84.81,70,85,5.75
23,Punta Arenas,CL,2022-11-20 12:30:32,-53.15,-70.9167,50.11,50,40,26.46
24,Makakilo City,US,2022-11-20 12:34:27,21.3469,-158.0858,77.32,73,0,11.5
25,Lardos,GR,2022-11-20 12:34:27,36.0942,28.0157,72.95,76,100,13.78
26,Sault Sainte Marie,CA,2022-11-20 12:32:14,46.5168,-84.3333,12.76,72,100,3.44
27,Talnakh,RU,2022-11-20 12:33:18,69.4865,88.3972,-15.92,95,97,3.65
28,Ostrovnoy,RU,2022-11-20 12:34:28,68.0531,39.5131,35.73,88,100,9.8
29,Chokurdakh,RU,2022-11-20 12:34:28,70.6333,147.9167,-27.02,100,96,6.8
30,Cabo San Lucas,MX,2022-11-20 12:34:29,22.8909,-109.9124,73.51,73,0,11.5
31,Bluff,NZ,2022-11-20 12:34:29,-46.6,168.3333,53.82,90,93,4.0
32,Sheopur,IN,2022-11-20 12:34:30,25.6667,76.7,68.59,32,0,4.52
33,Manbij,SY,2022-11-20 12:34:30,36.5281,37.9549,68.13,43,24,4.0
