City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2022-11-17 14:16:32,71.9667,102.5,-27.42,97,100,7.23
1,Kysyl-Syr,RU,2022-11-17 14:16:32,63.8986,122.7617,-4.99,98,100,8.68
2,Zlobin,HR,2022-11-17 14:16:33,45.2924,14.6541,51.1,84,75,4.61
3,Ust-Maya,RU,2022-11-17 14:16:33,60.4167,134.5333,-34.29,100,48,1.97
4,Carnarvon,AU,2022-11-17 14:13:09,-24.8667,113.6333,66.72,60,78,16.58
5,Tasiilaq,GL,2022-11-17 14:16:33,65.6145,-37.6368,37.56,87,100,13.04
6,Rikitea,PF,2022-11-17 14:16:34,-23.1203,-134.9692,73.54,84,100,10.33
7,Georgetown,MY,2022-11-17 14:15:49,5.4112,100.3354,83.95,87,40,5.75
8,Jamestown,US,2022-11-17 14:12:40,42.097,-79.2353,30.72,80,100,9.22
9,Torbay,CA,2022-11-17 14:16:34,47.6666,-52.7314,47.75,95,100,31.07
10,Coihaique,CL,2022-11-17 14:16:35,-45.5752,-72.0662,59.61,63,75,3.44
11,Caravelas,BR,2022-11-17 14:16:35,-17.7125,-39.2481,74.93,89,100,1.74
12,Longyearbyen,SJ,2022-11-17 14:12:19,78.2186,15.6401,19.24,73,40,10.36
13,Beian,NO,2022-11-17 14:16:35,63.6559,9.5683,46.49,25,0,25.32
14,Kyra,RU,2022-11-17 14:16:36,49.5776,111.9753,20.03,81,10,3.65
15,Norman Wells,CA,2022-11-17 14:16:36,65.282,-126.8329,8.44,85,95,0.96
16,Ushuaia,AR,2022-11-17 14:15:33,-54.8,-68.3,58.66,41,20,18.41
17,Vaini,TO,2022-11-17 14:16:36,-21.2,-175.2,76.82,72,22,6.13
18,Ilulissat,GL,2022-11-17 14:16:37,69.2167,-51.1,17.62,86,75,5.75
19,Kruisfontein,ZA,2022-11-17 14:16:37,-34.0033,24.7314,66.88,59,100,12.39
20,Busselton,AU,2022-11-17 14:16:37,-33.65,115.3333,53.74,81,78,7.2
21,Tevriz,RU,2022-11-17 14:16:38,57.509,72.4042,-5.78,98,6,2.57
22,Terney,RU,2022-11-17 14:16:38,45.0503,136.6092,29.35,78,13,6.51
23,Concepcion Del Uruguay,AR,2022-11-17 14:16:38,-32.4825,-58.2372,91.26,38,25,4.0
24,Atuona,PF,2022-11-17 14:15:19,-9.8,-139.0333,77.13,76,96,13.31
25,Ngaoundere,CM,2022-11-17 14:16:39,7.3167,13.5833,85.62,23,2,8.14
26,Aksarka,RU,2022-11-17 14:16:39,66.5606,67.7975,12.83,75,100,23.76
27,Turukhansk,RU,2022-11-17 14:16:39,65.8167,87.9833,-20.6,96,100,11.03
28,Kutum,SD,2022-11-17 14:16:39,14.2,24.6667,81.16,16,3,3.2
29,Springbok,ZA,2022-11-17 14:16:40,-29.6643,17.8865,79.45,13,38,17.47
30,Port Alfred,ZA,2022-11-17 14:16:40,-33.5906,26.891,67.17,84,100,5.99
31,Arraial Do Cabo,BR,2022-11-17 14:16:40,-22.9661,-42.0278,78.76,61,40,12.66
32,Avarua,CK,2022-11-17 14:12:12,-21.2078,-159.775,73.45,83,40,9.22
33,Kodiak,US,2022-11-17 14:12:49,57.79,-152.4072,42.31,100,100,13.8
34,Punta Arenas,CL,2022-11-17 14:16:41,-53.15,-70.9167,57.31,41,20,35.68
35,Avera,US,2022-11-17 14:16:41,33.194,-82.5271,40.51,47,99,11.74
36,Montague,US,2022-11-17 14:16:41,42.5356,-72.5351,40.17,83,45,9.8
37,Hermanus,ZA,2022-11-17 14:16:42,-34.4187,19.2345,65.8,64,92,12.64
38,Nyurba,RU,2022-11-17 14:16:42,63.2842,118.3319,-0.22,99,100,2.82
39,Port Hedland,AU,2022-11-17 14:15:20,-20.3167,118.5667,73.45,68,0,14.97
40,Saskylakh,RU,2022-11-17 14:12:15,71.9167,114.0833,-16.6,99,100,4.41
41,Hobart,AU,2022-11-17 14:15:02,-42.8794,147.3294,48.06,92,14,6.91
42,Odienne,CI,2022-11-17 14:16:42,9.51,-7.5692,91.44,14,79,7.29
43,Kropotkin,RU,2022-11-17 14:16:43,45.4375,40.5756,57.22,64,97,15.73
44,Nouadhibou,MR,2022-11-17 14:16:43,20.931,-17.0347,93.18,21,4,5.75
45,Tabou,CI,2022-11-17 14:17:43,4.423,-7.3528,82.72,71,84,8.99
46,Eisenach,DE,2022-11-17 14:17:44,50.9833,10.3167,50.11,93,100,15.46
47,Kaitangata,NZ,2022-11-17 14:17:44,-46.2817,169.8464,52.0,96,100,2.37
48,Bredasdorp,ZA,2022-11-17 14:17:44,-34.5322,20.0403,65.23,52,100,12.59
49,Jackson,US,2022-11-17 14:14:15,42.4165,-122.8345,52.84,93,0,0.0
50,Victoria,HK,2022-11-17 14:13:05,22.2855,114.1577,77.38,83,4,8.01
51,Bluff,NZ,2022-11-17 14:17:44,-46.6,168.3333,51.64,94,100,12.64
52,Geraldton,AU,2022-11-17 14:17:45,-28.7667,114.6,63.01,63,100,13.8
53,Port Elizabeth,ZA,2022-11-17 14:13:46,-33.918,25.5701,70.32,70,100,3.0
54,Yakeshi,CN,2022-11-17 14:17:45,49.2833,120.7333,11.03,98,65,4.65
55,Puerto Ayora,EC,2022-11-17 14:17:45,-0.7393,-90.3518,71.56,86,58,7.0
56,Mayo,US,2022-11-17 14:17:46,38.8876,-76.5119,42.35,47,0,21.0
57,Mataura,NZ,2022-11-17 14:17:46,-46.1927,168.8643,52.79,97,100,1.01
