City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bathsheba,BB,2022-11-16 02:12:50,13.2167,-59.5167,81.21,78,40,18.41
1,Makakilo City,US,2022-11-16 02:12:51,21.3469,-158.0858,80.92,52,0,12.66
2,Travesia,HN,2022-11-16 02:12:51,15.8667,-87.9,79.09,83,100,6.29
3,Quatre Cocos,MU,2022-11-16 02:12:51,-20.2078,57.7625,69.1,58,44,7.85
4,Provideniya,RU,2022-11-16 02:12:52,64.3833,-173.3,33.91,64,100,27.0
5,Nizhniy Tsasuchey,RU,2022-11-16 02:12:52,50.5167,115.1333,23.45,74,93,7.07
6,Orocue,CO,2022-11-16 02:12:52,4.7912,-71.3354,77.72,82,100,5.03
7,Barrow,US,2022-11-16 02:08:25,71.2906,-156.7887,19.42,79,0,17.27
8,Kaitangata,NZ,2022-11-16 02:12:52,-46.2817,169.8464,64.09,67,99,7.83
9,Mahebourg,MU,2022-11-16 02:12:53,-20.4081,57.7,69.26,88,40,4.61
10,Zhovtneve,UA,2022-11-16 02:12:53,50.6637,24.2492,42.64,81,100,3.98
11,Mataura,NZ,2022-11-16 02:12:53,-46.1927,168.8643,58.48,49,100,1.41
12,Hermanus,ZA,2022-11-16 02:12:53,-34.4187,19.2345,57.79,80,100,6.53
13,Albany,US,2022-11-16 02:12:12,42.6001,-73.9662,31.89,88,100,4.16
14,Jamestown,US,2022-11-16 02:09:02,42.097,-79.2353,33.71,78,100,6.91
15,Monte Aprazivel,BR,2022-11-16 02:12:54,-20.7725,-49.7142,72.84,39,0,7.96
16,Puerto Escondido,MX,2022-11-16 02:12:54,15.85,-97.0667,81.43,69,20,3.44
17,Cidreira,BR,2022-11-16 02:12:54,-30.1811,-50.2056,65.7,68,0,8.08
18,Kristiansund,NO,2022-11-16 02:12:55,63.1115,7.732,45.25,33,0,6.91
19,Ilula,TZ,2022-11-16 02:12:55,-7.6766,36.0366,59.2,79,25,3.89
20,Touros,BR,2022-11-16 02:08:50,-5.1989,-35.4608,77.63,75,3,12.75
21,Taoudenni,ML,2022-11-16 02:12:55,22.6783,-3.9836,76.12,14,100,10.47
22,Chumikan,RU,2022-11-16 02:12:56,54.7183,135.315,12.88,64,92,8.79
23,Castro,BR,2022-11-16 02:12:56,-24.7911,-50.0119,55.69,68,0,4.76
24,Atambua,ID,2022-11-16 02:12:56,-9.1061,124.8925,86.29,58,95,3.4
25,New Norfolk,AU,2022-11-16 02:12:57,-42.7826,147.0587,51.91,63,86,5.01
26,Laguna,US,2022-11-16 02:12:57,38.421,-121.4238,62.89,38,0,9.22
27,Chiang Klang,TH,2022-11-16 02:12:57,19.2938,100.8617,76.75,91,71,0.29
28,Muravlenko,RU,2022-11-16 02:12:58,63.7898,74.523,-14.4,83,0,9.91
29,Lebu,CL,2022-11-16 02:12:58,-37.6167,-73.65,54.9,92,6,4.79
30,Ushuaia,AR,2022-11-16 02:12:58,-54.8,-68.3,47.86,61,0,3.44
31,Cape Town,ZA,2022-11-16 02:09:26,-33.9258,18.4232,62.11,76,100,1.99
32,Khatanga,RU,2022-11-16 02:12:58,71.9667,102.5,-8.3,97,100,9.4
33,Luena,AO,2022-11-16 02:12:59,-11.7833,19.9167,60.04,95,92,0.98
34,Monterey,US,2022-11-16 02:09:54,36.2505,-121.2516,56.17,33,0,5.55
35,Sur,OM,2022-11-16 02:12:59,22.5667,59.5289,77.04,57,0,1.19
36,Qaanaaq,GL,2022-11-16 02:11:42,77.484,-69.3632,-1.8,84,18,6.91
37,Cabo San Lucas,MX,2022-11-16 02:09:42,22.8909,-109.9124,76.51,72,75,5.75
38,Ribeira Grande,PT,2022-11-16 02:12:59,38.5167,-28.7,66.78,92,70,15.99
39,Tiksi,RU,2022-11-16 02:13:00,71.6872,128.8694,-19.68,98,97,7.72
40,Rikitea,PF,2022-11-16 02:13:00,-23.1203,-134.9692,74.82,82,81,17.76
41,Port Elizabeth,ZA,2022-11-16 02:13:00,-33.918,25.5701,59.31,82,8,3.0
42,Hays,US,2022-11-16 02:13:01,30.0502,-98.0336,43.9,80,98,3.0
43,Arras,FR,2022-11-16 02:13:01,50.293,2.7819,48.92,95,100,13.15
44,Ilinskiy,RU,2022-11-16 02:13:01,55.619,38.1182,28.38,93,40,7.0
45,Sosnovoborsk,RU,2022-11-16 02:14:01,56.1325,93.3589,36.9,78,100,12.77
46,Maues,BR,2022-11-16 02:14:02,-3.3836,-57.7186,81.3,68,100,1.3
47,Dengzhou,CN,2022-11-16 02:14:02,37.8086,120.7508,52.95,56,14,11.01
48,Cayenne,GF,2022-11-16 02:10:29,4.9333,-52.3333,75.24,94,0,0.0
49,Airai,TL,2022-11-16 02:14:03,-8.9266,125.4092,76.75,47,23,1.95
50,Tarbagatay,RU,2022-11-16 02:14:03,51.4803,107.3602,11.73,78,100,0.74
51,Akhtubinsk,RU,2022-11-16 02:14:03,48.2795,46.1722,28.87,58,76,6.49
52,Korsakov,RU,2022-11-16 02:14:04,46.6328,142.7813,30.04,57,39,6.17
53,Ericeira,PT,2022-11-16 02:14:04,38.9627,-9.4156,62.83,83,100,14.85
54,Hobart,AU,2022-11-16 02:14:04,-42.8794,147.3294,52.27,65,75,23.02
55,Bethel,US,2022-11-16 02:14:05,41.3712,-73.414,37.02,85,100,9.22
